director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,combination,title,comb
Brendan Walsh,Genesis Rodriguez,Vincent Piazza,Louis Cancelmi,Thriller Drama,,Genesis Rodriguez Vincent Piazza Louis Cancelmi Brendan Walsh Thriller Drama,centigrade,
Niki Caro,Liu Yifei,Donnie Yen,Tzi Ma,Action Adventure Drama Fantasy,,Liu Yifei Donnie Yen Tzi Ma Niki Caro Action Adventure Drama Fantasy,mulan,
Charlie Kaufman,Jesse Plemons,Jessie Buckley,Toni Collette,Drama,,Jesse Plemons Jessie Buckley Toni Collette Charlie Kaufman Drama,i'm thinking of ending things,
John Leguizamo,John Leguizamo (director); John Leguizamo,Jorge Lendeborg Jr.,Angel Bismark Curiel,Drama,,John Leguizamo (director); John Leguizamo Jorge Lendeborg Jr. Angel Bismark Curiel John Leguizamo Drama,critical thinking,
Julius Berg,Maisie Williams,Sylvester McCoy,Rita Tushingham,Thriller Horror Action,,Maisie Williams Sylvester McCoy Rita Tushingham Julius Berg Thriller Horror Action,the owners,
McG,Judah Lewis,Emily Alyn Lind,Jenna Ortega,Horror Comedy,,Judah Lewis Emily Alyn Lind Jenna Ortega McG Horror Comedy,the babysitter: killer queen,
Rachel Lee Goldenberg,Haley Lu Richardson,Barbie Ferreira,Alex MacNicoll,Drama Comedy,,Haley Lu Richardson Barbie Ferreira Alex MacNicoll Rachel Lee Goldenberg Drama Comedy,unpregnant,
Natalie Krinsky,Geraldine Viswanathan,Dacre Montgomery,Utkarsh Ambudkar,Comedy Romance,,Geraldine Viswanathan Dacre Montgomery Utkarsh Ambudkar Natalie Krinsky Comedy Romance,the broken hearts gallery,
Jon Stevenson,Wil Wheaton,Brian Landis Folkins,Kathleen Brady,Horror Thriller,,Wil Wheaton Brian Landis Folkins Kathleen Brady Jon Stevenson Horror Thriller,rent-a-pal,
Antonio Campos,Tom Holland,Bill Skarsgård,Riley Keough,Crime Drama Thriller,,Tom Holland Bill Skarsgård Riley Keough Antonio Campos Crime Drama Thriller,the devil all the time,
Yuval Adler,Noomi Rapace,Joel Kinnaman,Chris Messina,Thriller,,Noomi Rapace Joel Kinnaman Chris Messina Yuval Adler Thriller,the secrets we keep,
"Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe",Janelle Monáe,Eric Lange,Jena Malone,Horror,,"Janelle Monáe Eric Lange Jena Malone Gerard Bush, Christopher Renz (directors/screenplay); Janelle Monáe, Eric Lange, Jena Malone, Jack Huston, Kiersey Clemons, Gabourey Sidibe Horror",antebellum,
Sean Durkin,Jude Law,Carrie Coon,Charlie Shotwell,Horror Mystery,,Jude Law Carrie Coon Charlie Shotwell Sean Durkin Horror Mystery,the nest,
Roger Michell,Susan Sarandon,Kate Winslet,Mia Wasikowska,Drama,,Susan Sarandon Kate Winslet Mia Wasikowska Roger Michell Drama,blackbird,
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,Sam Claflin,Adventure Crime Drama Mystery,,Millie Bobby Brown Henry Cavill Sam Claflin Harry Bradbeer Adventure Crime Drama Mystery,enola holmes,
Tate Taylor,Jessica Chastain,John Malkovich,Common,Action Crime Drama Thriller,,Jessica Chastain John Malkovich Common Tate Taylor Action Crime Drama Thriller,ava,
Miranda July,Evan Rachel Wood,Richard Jenkins,Debra Winger,Crime Drama,,Evan Rachel Wood Richard Jenkins Debra Winger Miranda July Crime Drama,kajillionaire,
Anna Mastro,Peyton Elizabeth Lee,Skylar Astin,Élodie Yung,Action Adventure Comedy Fantasy,,Peyton Elizabeth Lee Skylar Astin Élodie Yung Anna Mastro Action Adventure Comedy Fantasy,secret society of second-born royals,
Joe Mantello,Jim Parsons,Zachary Quinto,Matt Bomer,Drama,,Jim Parsons Zachary Quinto Matt Bomer Joe Mantello Drama,the boys in the band,
Julie Taymor,Julianne Moore,Alicia Vikander,Timothy Hutton,Drama,,Julianne Moore Alicia Vikander Timothy Hutton Julie Taymor Drama,the glorias,
